2026-02-12 10:39:25.080 [main] DEBUG c.nilsson.backend.BackendApplication - Running with Spring Boot v3.3.0, Spring v6.1.8
2026-02-12 10:39:25.081 [main] INFO  c.nilsson.backend.BackendApplication - No active profile set, falling back to 1 default profile: "default"
2026-02-12 10:39:26.077 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8080 (http)
2026-02-12 10:39:26.088 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-02-12 10:39:26.088 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.24]
2026-02-12 10:39:26.107 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2026-02-12 10:39:26.108 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 874 ms
2026-02-12 10:39:26.145 [main] INFO  c.n.backend.service.DatabaseService - Initializing DatabaseService with URL: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db
2026-02-12 10:39:26.154 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Starting...
2026-02-12 10:39:26.280 [main] INFO  com.zaxxer.hikari.pool.HikariPool - ImageToolboxPool - Added connection org.sqlite.jdbc4.JDBC4Connection@58606c91
2026-02-12 10:39:26.280 [main] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Start completed.
2026-02-12 10:39:26.280 [main] INFO  c.n.backend.service.DatabaseService - Starting Flyway migration...
2026-02-12 10:39:26.355 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:39:26.373 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.010s)
2026-02-12 10:39:26.378 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:39:26.380 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:39:26.382 [main] INFO  c.n.backend.service.DatabaseService - Flyway migration completed successfully.
2026-02-12 10:39:26.474 [main] INFO  c.n.backend.service.PathService - PathService initialized in open (local file browser) mode.
2026-02-12 10:39:26.552 [main] INFO  o.s.b.a.w.s.WelcomePageHandlerMapping - Adding welcome page: class path resource [static/index.html]
2026-02-12 10:39:26.830 [main] INFO  org.flywaydb.core.FlywayExecutor - Database: jdbc:sqlite:C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data\library.db (SQLite 3.45)
2026-02-12 10:39:26.832 [main] INFO  o.f.core.internal.command.DbValidate - Successfully validated 2 migrations (execution time 00:00.001s)
2026-02-12 10:39:26.833 [main] INFO  o.f.core.internal.command.DbMigrate - Current version of schema "main": 2
2026-02-12 10:39:26.833 [main] INFO  o.f.core.internal.command.DbMigrate - Schema "main" is up to date. No migration necessary.
2026-02-12 10:39:26.994 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2026-02-12 10:39:27.012 [main] INFO  c.nilsson.backend.BackendApplication - Started BackendApplication in 2.398 seconds (process running for 2.836)
2026-02-12 10:39:27.266 [tomcat-handler-0] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2026-02-12 10:39:27.266 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2026-02-12 10:39:27.267 [tomcat-handler-0] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 0 ms
2026-02-12 10:39:27.650 [tomcat-handler-12] INFO  c.n.backend.service.IndexingService - Indexing folder: Art by me
2026-02-12 10:39:27.651 [virtual-75] INFO  c.n.backend.service.ThumbnailService - Starting background preload for 11 files using Virtual Threads...
2026-02-12 10:39:27.657 [virtual-75] INFO  c.n.backend.service.ThumbnailService - Preload completed.
2026-02-12 10:39:47.288 [tomcat-handler-15] INFO  c.n.b.controller.SystemController - Attempting to open data folder at: C:\Users\error\IdeaProjects\Projects\AIToolbox-Web\backend\data
2026-02-12 10:40:47.595 [tomcat-handler-21] INFO  c.n.b.controller.SystemController - Shutdown request received via API.
2026-02-12 10:40:48.107 [Thread-1] INFO  c.n.b.controller.SystemController - Closing application context...
2026-02-12 10:40:48.114 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown initiated...
2026-02-12 10:40:48.118 [Thread-1] INFO  com.zaxxer.hikari.HikariDataSource - ImageToolboxPool - Shutdown completed.
